Date,Nikkei,TOPIX,NT
2023-04-25,28620.07,2042.15,14.0147
2023-04-26,28416.47,2023.9,14.0405
2023-04-27,28457.68,2032.51,14.0012
2023-04-28,28856.44,2057.48,14.0251
2023-05-01,29123.18,2078.06,14.0146
2023-05-02,29157.95,2075.53,14.0484
2023-05-08,28949.88,2071.21,13.9773
2023-05-09,29242.82,2097.55,13.9414
2023-05-10,29122.18,2085.91,13.9614
2023-05-11,29126.72,2083.09,13.9825
2023-05-12,29388.3,2096.39,14.0185
2023-05-15,29626.34,2114.85,14.0087
2023-05-16,29842.99,2127.18,14.0294
2023-05-17,30093.59,2133.61,14.1045
2023-05-18,30573.93,2157.85,14.1687
2023-05-19,30808.35,2161.69,14.252
2023-05-22,31086.82,2175.9,14.2869
2023-05-23,30957.77,2161.49,14.3224
2023-05-24,30682.68,2152.4,14.2551
2023-05-25,30801.13,2146.15,14.3518
2023-05-26,30916.31,2145.84,14.4076
2023-05-29,31233.54,2160.65,14.4556
2023-05-30,31328.16,2159.22,14.509
2023-05-31,30887.88,2130.63,14.4971
2023-06-01,31148.01,2149.29,14.4922
2023-06-02,31524.22,2182.7,14.4428
2023-06-05,32217.43,2219.79,14.5137
2023-06-06,32506.78,2236.28,14.5361
2023-06-07,31913.74,2206.3,14.4648
2023-06-08,31641.27,2191.5,14.4382
2023-06-09,32265.17,2224.32,14.5056
2023-06-12,32434.0,2238.77,14.4874
2023-06-13,33018.65,2264.79,14.5791
2023-06-14,33502.42,2294.53,14.601
2023-06-15,33485.49,2293.97,14.5972
2023-06-16,33706.08,2300.36,14.6525
2023-06-19,33370.42,2290.5,14.5691
2023-06-20,33388.91,2283.85,14.6196
2023-06-21,33575.14,2295.01,14.6296
2023-06-22,33264.88,2296.5,14.485
2023-06-23,32781.54,2264.73,14.4748
2023-06-26,32698.81,2260.17,14.4674
2023-06-27,32538.33,2253.81,14.437
2023-06-28,33193.99,2298.6,14.441
2023-06-29,33234.14,2296.25,14.4732
2023-06-30,33189.04,2288.6,14.5019
2023-07-03,33753.33,2320.81,14.5438
2023-07-04,33422.52,2306.37,14.4914
2023-07-05,33338.7,2306.03,14.4572
2023-07-06,32773.02,2277.08,14.3926
2023-07-07,32388.42,2254.9,14.3636
2023-07-10,32189.73,2243.33,14.3491
2023-07-11,32203.57,2236.4,14.3997
2023-07-12,31943.93,2221.48,14.3796
2023-07-13,32419.33,2242.99,14.4536
2023-07-14,32391.26,2239.1,14.4662
2023-07-18,32493.89,2252.28,14.4271
2023-07-19,32896.03,2278.97,14.4346
2023-07-20,32490.52,2260.9,14.3706
2023-07-21,32304.25,2262.2,14.28
2023-07-24,32700.94,2281.18,14.3351
2023-07-25,32682.51,2285.38,14.3007
2023-07-26,32668.34,2283.09,14.3088
2023-07-27,32891.16,2295.14,14.3308
2023-07-28,32759.23,2290.61,14.3015
2023-07-31,33172.22,2322.56,14.2826
2023-08-01,33476.58,2337.36,14.3224
2023-08-02,32707.69,2301.76,14.2099
2023-08-03,32159.28,2268.35,14.1774
2023-08-04,32192.75,2274.63,14.153
2023-08-07,32254.56,2283.93,14.1224
2023-08-08,32377.29,2291.73,14.1279
2023-08-09,32204.33,2282.57,14.1088
2023-08-10,32473.65,2303.51,14.0975
2023-08-14,32059.91,2280.89,14.0559
2023-08-15,32238.89,2290.31,14.0762
2023-08-16,31766.82,2260.84,14.0509
2023-08-17,31626.0,2253.06,14.0369
2023-08-18,31450.76,2237.29,14.0575
2023-08-21,31565.64,2241.49,14.0824
2023-08-22,31856.71,2265.71,14.0604
2023-08-23,32010.26,2277.05,14.0578
2023-08-24,32287.21,2286.59,14.1202
2023-08-25,31624.28,2266.4,13.9535
2023-08-28,32169.99,2299.81,13.9881
2023-08-29,32226.97,2303.41,13.991
2023-08-30,32333.46,2313.38,13.9767
2023-08-31,32619.34,2332.0,13.9877
2023-09-01,32710.62,2349.75,13.9209
2023-09-04,32939.18,2373.73,13.8765
2023-09-05,33036.76,2377.85,13.8935
2023-09-06,33241.02,2392.53,13.8937
2023-09-07,32991.08,2383.38,13.8421
2023-09-08,32606.84,2359.02,13.8222
2023-09-11,32467.76,2360.48,13.7547
2023-09-12,32776.37,2379.91,13.7721
2023-09-13,32706.52,2378.64,13.7501
2023-09-14,33168.1,2405.57,13.788
2023-09-15,33533.09,2428.38,13.8088
2023-09-19,33242.59,2430.3,13.6784
2023-09-20,33023.78,2406.0,13.7256
2023-09-21,32571.03,2383.41,13.6657
2023-09-22,32402.41,2376.27,13.6358
2023-09-25,32678.62,2385.5,13.6989
2023-09-26,32315.05,2371.94,13.6239
2023-09-27,32371.9,2379.53,13.6043
2023-09-28,31872.52,2345.51,13.5887
2023-09-29,31857.62,2323.39,13.7117
2023-10-02,31759.88,2314.44,13.7225
2023-10-03,31237.94,2275.47,13.7281
2023-10-04,30526.88,2218.89,13.7577
2023-10-05,31075.36,2263.76,13.7273
2023-10-06,30994.67,2264.08,13.6897
2023-10-10,31746.53,2312.19,13.7301
2023-10-11,31936.51,2307.84,13.8383
2023-10-12,32494.66,2342.49,13.8718
2023-10-13,32315.99,2308.75,13.9972
2023-10-16,31659.03,2273.54,13.925
2023-10-17,32040.29,2292.08,13.9787
2023-10-18,32042.25,2295.34,13.9597
2023-10-19,31430.62,2264.16,13.8818
2023-10-20,31259.36,2255.65,13.8582
2023-10-23,30999.55,2238.81,13.8464
2023-10-24,31062.35,2240.73,13.8626
2023-10-25,31269.92,2254.4,13.8706
2023-10-26,30601.78,2224.25,13.7582
2023-10-27,30991.69,2254.65,13.7457
2023-10-30,30696.96,2231.24,13.7578
2023-10-31,30858.85,2253.72,13.6924
2023-11-01,31601.65,2310.68,13.6763
2023-11-02,31949.89,2322.39,13.7573
2023-11-06,32708.48,2360.46,13.8568
2023-11-07,32271.82,2332.91,13.8333
2023-11-08,32166.48,2305.95,13.9493
2023-11-09,32646.46,2335.12,13.9806
2023-11-10,32568.11,2336.72,13.9375
2023-11-13,32585.11,2336.62,13.9454
2023-11-14,32695.93,2345.29,13.9411
2023-11-15,33519.7,2373.22,14.1241
2023-11-16,33424.41,2368.62,14.1113
2023-11-17,33585.2,2391.05,14.0462
2023-11-20,33388.03,2372.6,14.0723
2023-11-21,33354.14,2367.79,14.0866
2023-11-22,33451.83,2378.19,14.0661
2023-11-24,33625.53,2390.94,14.0637
2023-11-27,33447.67,2381.76,14.0433
2023-11-28,33408.39,2376.71,14.0566
2023-11-29,33321.22,2364.5,14.0923
2023-11-30,33486.89,2374.93,14.1002
2023-12-01,33431.51,2382.52,14.032
2023-12-04,33231.27,2362.65,14.0653
2023-12-05,32775.82,2342.69,13.9907
2023-12-06,33445.9,2387.2,14.0105
2023-12-07,32858.31,2359.91,13.9235
2023-12-08,32307.86,2324.47,13.899
2023-12-11,32791.8,2358.55,13.9034
2023-12-12,32843.7,2353.16,13.9573
2023-12-13,32926.35,2354.92,13.9819
2023-12-14,32686.25,2321.35,14.0807
2023-12-15,32970.55,2332.28,14.1366
2023-12-18,32758.98,2316.86,14.1394
2023-12-19,33219.39,2333.81,14.234
2023-12-20,33675.94,2349.38,14.334
2023-12-21,33140.47,2325.98,14.248
2023-12-22,33169.05,2336.43,14.1965
2023-12-25,33254.03,2337.4,14.2269
2023-12-26,33305.85,2338.86,14.2402
2023-12-27,33681.24,2365.4,14.2391
2023-12-28,33539.62,2362.02,14.1995
2023-12-29,33464.17,2366.39,14.1414
2024-01-04,33288.29,2378.79,13.9938
2024-01-05,33377.42,2393.54,13.9448
2024-01-09,33763.18,2413.09,13.9917
2024-01-10,34441.72,2444.48,14.0896
2024-01-11,35049.86,2482.87,14.1167
2024-01-12,35577.11,2494.23,14.2638
2024-01-15,35901.79,2524.6,14.2208
2024-01-16,35619.18,2503.98,14.225
2024-01-17,35477.75,2496.38,14.2117
2024-01-18,35466.17,2492.09,14.2315
2024-01-19,35963.27,2510.03,14.3278
2024-01-22,36546.95,2544.92,14.3607
2024-01-23,36517.57,2542.07,14.3653
2024-01-24,36226.48,2529.22,14.3232
2024-01-25,36236.47,2531.92,14.3119
2024-01-26,35751.07,2497.65,14.3139
2024-01-29,36026.94,2529.48,14.2428
2024-01-30,36065.86,2526.93,14.2726
2024-01-31,36286.71,2551.1,14.2239
2024-02-01,36011.46,2534.04,14.2111
2024-02-02,36158.02,2539.68,14.2372
2024-02-05,36354.16,2556.71,14.2191
2024-02-06,36160.66,2539.25,14.2407
2024-02-07,36119.92,2549.95,14.165
